Distname,Division,Geometry,Shape Area,Shape Leng,district_name,Dist_code,total_quarantine
Bagerhat,Khulna,Polygon,3948887609.35,451037.38986,Bagerhat,4001,625
Bandarban,Chittagong,Polygon,4595411320.25,582112.211609,Bandarban,2003,5
Barguna,Barisal,Polygon,1517761079.35,320744.043819,Barguna,1004,110
Barisal,Barisal,Polygon,2489743346.08,398321.467948,Barisal,1006,43
Bhola,Barisal,MultiPolygon,3175528150.96,361181.817171,Bhola,1009,65
Bogra,Rajshahi,Polygon,2910521602.64,453629.222939,Bogra,5010,429
Brahmanbaria,Chittagong,Polygon,1921039655.97,378557.673956,Brahmanbaria,2012,357
Chandpur,Chittagong,Polygon,1697921361.08,264915.719084,Chandpur,2013,83
Chittagong,Chittagong,MultiPolygon,4983729834.47,686858.815293,Chittagong,2015,766
Chuadanga,Khulna,Polygon,1163100963.12,247973.590111,Chuadanga,4018,161
Comilla,Chittagong,Polygon,3083793736.04,405962.303394,Comilla,2019,239
Cox's Bazar,Chittagong,MultiPolygon,2264310410.55,575604.087102,Cox's Bazar,2022,87
Dhaka,Dhaka,Polygon,1477632599.45,339659.078933,Dhaka,3026,385
Dinajpur,Rangpur,Polygon,3459851932.35,530522.084715,Dinajpur,5527,60
Faridpur,Dhaka,Polygon,2042046953.49,355357.07409,Faridpur,3029,458
Feni,Chittagong,Polygon,933544613.21,264471.348302,Feni,2030,376
Gaibandha,Rangpur,Polygon,2164956850.53,339892.097906,Gaibandha,5532,53
Gazipur,Dhaka,Polygon,1814145303.41,259316.42386,Gazipur,3033,105
Gopalganj,Dhaka,Polygon,1474727279.02,288300.052574,Gopalganj,3035,115
Habiganj,Sylhet,Polygon,2587191890.39,441192.632753,Habiganj,6036,170
Jamalpur,Mymensingh,Polygon,2063798381.23,377524.818104,Jamalpur,4539,47
Jessore,Khulna,Polygon,2583118572.43,458150.334224,Jessore,4041,536
Jhalokati,Barisal,Polygon,737674805.297,214336.761257,Jhalokati,1042,2
Jhenaidah,Khulna,Polygon,1955279928.35,388343.673757,Jhenaidah,4044,163
Joypurhat,Rajshahi,Polygon,959329703.525,232320.291934,Joypurhat,5038,44
Khagrachhari,Chittagong,Polygon,2889879658.52,381926.078554,Khagrachhari,2046,101
Khulna,Khulna,Polygon,4203955840.28,520371.289306,Khulna,4047,432
Kishoreganj,Dhaka,Polygon,2563421144.2,360723.463888,Kishoreganj,3048,314
Kurigram,Rangpur,MultiPolygon,2274371395.79,537516.248052,Kurigram,5549,150
Kushtia,Khulna,Polygon,1613351891.42,329480.003138,Kushtia,4050,50
Lakshmipur,Chittagong,Polygon,1557541037.7,289634.891684,Lakshmipur,2051,568
Lalmonirhat,Rangpur,MultiPolygon,1275392177.86,570250.098373,Lalmonirhat,5552,56
Madaripur,Dhaka,Polygon,1134356879.47,268224.615842,Madaripur,3054,287
Magura,Khulna,Polygon,1047996785.42,206578.325038,Magura,4055,96
Manikganj,Dhaka,Polygon,1373161902.1,263313.626622,Manikganj,3056,300
Maulvibazar,Sylhet,Polygon,2680409566.34,431164.92591,Maulvibazar,6058,245
Meherpur,Khulna,Polygon,721136127.965,192401.223307,Meherpur,4057,97
Munshiganj,Dhaka,Polygon,931963395.132,186948.414271,Munshiganj,3059,297
Mymensingh,Mymensingh,Polygon,4343398622.13,546877.609469,Mymensingh,4561,357
Naogaon,Rajshahi,Polygon,3443735133.68,536254.535104,Naogaon,5064,966
Narail,Khulna,Polygon,994978020.642,228370.931412,Narail,4065,172
Narayanganj,Dhaka,Polygon,701916976.029,187129.325273,Narayanganj,3067,102
Narsingdi,Dhaka,Polygon,1167016835.42,226182.096966,Narsingdi,3068,144
Natore,Rajshahi,Polygon,1903221125.77,366331.517892,Natore,5069,59
Nawabganj,Rajshahi,Polygon,1686636954.84,351013.758507,Nawabganj,5070,208
Netrakona,Mymensingh,Polygon,2803663886.88,461866.018991,Netrakona,4572,74
Nilphamari,Rangpur,Polygon,1587729928.33,269356.005271,Nilphamari,5573,104
Noakhali,Chittagong,MultiPolygon,3149776940.13,546332.390306,Noakhali,2075,675
Pabna,Rajshahi,Polygon,2387690921.74,325969.754346,Pabna,5076,393
Panchagarh,Rangpur,Polygon,1399910303.45,369394.236443,Panchagarh,5577,187
Patuakhali,Barisal,MultiPolygon,3159333065.01,414696.616147,Patuakhali,1078,13
Pirojpur,Barisal,Polygon,1271704226.43,320652.560736,Pirojpur,1079,72
Rajbari,Dhaka,Polygon,1138367882.08,217188.885249,Rajbari,3082,264
Rajshahi,Rajshahi,Polygon,2438105403.48,370108.231711,Rajshahi,5081,149
Rangamati,Chittagong,Polygon,5758928195.99,697770.120033,Rangamati,2084,82
Rangpur,Rangpur,Polygon,2342422245.63,374181.428264,Rangpur,5585,20
Satkhira,Khulna,Polygon,3908541712.29,516198.761698,Satkhira,4087,394
Shariatpur,Dhaka,Polygon,1250879618.13,196540.210815,Shariatpur,3086,236
Sherpur,Mymensingh,Polygon,1325673386.06,197577.938869,Sherpur,4589,59
Sirajganj,Dhaka,Polygon,2492378679.2,381617.493728,Sirajganj,5088,109
Sunamganj,Sylhet,Polygon,3690865158.1,495899.257301,Sunamganj,6090,128
Sylhet,Sylhet,Polygon,3422475421.24,446465.856581,Sylhet,6091,502
Tangail,Dhaka,Polygon,3363640728.09,387810.016357,Tangail,3093,457
Thakurgaon,Rangpur,Polygon,1813888584.56,344660.623757,Thakurgaon,5594,29
